Date,Average Daily Wind Speed (mph),Precipitation (in),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
1/1/2018,13.42,0,30,37,25
1/2/2018,9.17,0,30,32,26
1/3/2018,5.14,0,32,49,20
1/4/2018,1.57,0,38,55,25
1/5/2018,5.37,0,47,60,39
1/6/2018,6.04,0,49,67,37
1/7/2018,10.51,0.06,57,70,48
1/8/2018,12.53,0,58,65,44
1/9/2018,6.04,0,47,59,39
1/10/2018,11.86,0,63,68,58
1/11/2018,13.65,0,60,72,38
1/12/2018,14.09,0,39,51,29
1/13/2018,7.83,0,38,52,29
1/14/2018,6.49,0,42,57,31
1/15/2018,9.84,0.2,49,69,37
1/16/2018,17.45,0.06,33,39,19
1/17/2018,7.16,0,25,38,15
1/18/2018,4.7,0,29,40,20
1/19/2018,7.61,0.01,44,60,37
1/20/2018,7.61,0.01,57,67,54
1/21/2018,13.65,0.02,67,72,63
1/22/2018,10.51,0.09,60,68,44
1/23/2018,4.47,0,49,64,32
1/24/2018,5.14,0,50,66,34
1/25/2018,6.26,0,49,65,35
1/26/2018,9.84,0,55,67,46
1/27/2018,6.26,0.6,62,65,58
1/28/2018,8.95,0.01,60,70,50
1/29/2018,9.84,0,51,63,36
1/30/2018,7.38,0,47,64,36
1/31/2018,12.3,0,52,71,38
2/1/2018,9.62,0,62,72,53
2/2/2018,11.41,0,53,58,47
2/3/2018,6.26,0.08,48,54,42
2/4/2018,6.71,0,56,62,49
2/5/2018,5.82,0,48,56,39
2/6/2018,8.95,0.06,52,55,40
2/7/2018,13.2,0.25,40,42,36
2/8/2018,6.71,0,43,61,34
2/9/2018,6.04,0.03,55,61,51
2/10/2018,8.5,0.09,58,64,38
2/11/2018,14.54,0,35,38,31
2/12/2018,8.5,0,35,46,30
2/13/2018,5.82,0.08,42,47,40
2/14/2018,5.37,0.07,51,69,47
2/15/2018,12.08,0,69,79,65
2/16/2018,9.4,0,68,74,56
2/17/2018,7.16,0.05,56,62,49
2/18/2018,11.18,0.01,58,78,52
2/19/2018,19.01,0,72,79,67
2/20/2018,14.99,0.23,72,77,70
2/21/2018,12.97,0.56,57,71,43
2/22/2018,8.05,0.01,43,47,41
2/23/2018,4.25,0,52,74,44
2/24/2018,11.18,0.01,69,75,62
2/25/2018,9.17,0.33,61,62,52
2/26/2018,6.49,0,56,68,51
2/27/2018,11.41,0,64,80,57
2/28/2018,14.09,0,73,83,69
3/1/2018,11.86,0.05,69,75,54
3/2/2018,5.82,0,61,76,51
3/3/2018,8.5,0,63,75,52
3/4/2018,12.75,0.06,68,77,63
3/5/2018,11.41,0.07,72,84,59
3/6/2018,9.17,0,62,74,46
3/7/2018,8.95,0,55,65,44
3/8/2018,7.61,0,55,68,46
3/9/2018,12.3,0,60,73,49
3/10/2018,9.84,0,71,83,64
3/11/2018,14.54,0,70,72,52
3/12/2018,9.62,0,55,65,43
3/13/2018,7.16,0,56,70,45
3/14/2018,5.82,0,57,70,42
3/15/2018,12.53,0,60,73,48
3/16/2018,9.17,0,72,85,64
3/17/2018,10.74,0,74,82,69
3/18/2018,7.16,0.97,72,81,63
3/19/2018,11.41,0.02,69,78,57
3/20/2018,10.29,0,59,68,48
3/21/2018,4.92,0,59,74,42
3/22/2018,12.53,0,64,78,50
3/23/2018,15.66,0,67,81,58
3/24/2018,10.74,0,72,83,67
3/25/2018,10.51,0,73,81,68
3/26/2018,16.33,0,74,85,67
3/27/2018,12.3,0.29,75,84,64
3/28/2018,8.28,4.52,65,67,60
3/29/2018,6.93,0.18,66,78,57
3/30/2018,9.17,0,64,74,54
3/31/2018,10.51,0,65,80,53
4/1/2018,8.72,0,68,81,58
4/2/2018,12.3,0,72,83,61
4/3/2018,13.2,0.01,73,83,61
4/4/2018,11.63,0,61,70,49
4/5/2018,10.51,0,62,74,52
4/6/2018,11.86,0.15,73,84,65
4/7/2018,14.09,0.01,56,68,41
4/8/2018,6.71,0,45,57,42
4/9/2018,8.5,0,60,71,54
4/10/2018,7.83,0,64,75,50
4/11/2018,9.62,0,63,80,47
4/12/2018,16.33,0,70,84,60
4/13/2018,17,0.31,74,80,61
4/14/2018,12.97,0.17,62,66,48
4/15/2018,8.72,0,54,67,41
4/16/2018,9.62,0,60,80,44
4/17/2018,15.21,0,69,83,59
4/18/2018,10.51,0,72,83,64
4/19/2018,11.41,0,67,76,57
4/20/2018,9.17,0,60,67,53
4/21/2018,8.72,0.83,62,70,54
4/22/2018,11.41,0,63,71,52
4/23/2018,7.61,0,62,78,49
4/24/2018,2.46,0,70,84,54
4/25/2018,8.05,0,71,83,56
4/26/2018,6.71,0,62,76,48
4/27/2018,4.03,0,67,79,54
4/28/2018,2.68,0,69,83,56
4/29/2018,6.71,0,70,82,57
4/30/2018,10.96,0,69,80,58
5/1/2018,11.86,0,73,80,68
5/2/2018,14.99,0.02,77,87,71
5/3/2018,14.32,0,78,87,74
5/4/2018,8.5,0.85,73,77,65
5/5/2018,5.82,0,70,83,61
5/6/2018,2.68,0,71,85,57
5/7/2018,3.8,0,75,88,61
5/8/2018,8.72,0,76,89,63
5/9/2018,8.95,0,76,88,62
5/10/2018,10.51,0,75,88,61
5/11/2018,14.32,0,78,89,70
5/12/2018,12.75,0,80,91,72
5/13/2018,10.74,0,81,91,73
5/14/2018,9.4,0,81,89,73
5/15/2018,5.59,0,79,90,69
5/16/2018,5.14,0,80,92,66
5/17/2018,4.92,0,81,94,68
5/18/2018,10.51,0,82,94,71
5/19/2018,13.2,0,82,93,74
5/20/2018,8.05,0.45,77,84,68
5/21/2018,6.26,0.76,72,87,67
5/22/2018,5.37,0,76,86,68
5/23/2018,4.92,0,78,90,70
5/24/2018,5.14,0,79,90,71
5/25/2018,4.7,0,80,92,71
5/26/2018,7.38,0,83,93,72
5/27/2018,5.14,0,83,95,73
5/28/2018,3.58,0,84,94,74
5/29/2018,5.37,0,84,95,73
5/30/2018,11.18,0,83,94,73
5/31/2018,12.53,0,84,95,74
6/1/2018,10.74,0,85,96,77
6/2/2018,10.29,0,86,97,77
6/3/2018,4.7,1.56,85,98,70
6/4/2018,5.82,0,79,88,72
6/5/2018,7.61,0,84,95,75
6/6/2018,7.61,0,85,94,76
6/7/2018,9.17,0,84,94,75
6/8/2018,6.93,0,84,94,74
6/9/2018,8.28,0,83,93,72
6/10/2018,12.08,0,84,96,76
6/11/2018,14.54,0,85,96,78
6/12/2018,12.75,0,86,97,79
6/13/2018,8.72,0,85,96,74
6/14/2018,8.72,0,85,94,74
6/15/2018,10.29,0,84,96,74
6/16/2018,10.74,0,84,95,75
6/17/2018,8.28,0.12,81,90,76
6/18/2018,10.74,0.03,81,90,74
6/19/2018,9.62,0.14,78,86,74
6/20/2018,5.82,0.16,76,81,74
6/21/2018,4.7,0,80,90,73
6/22/2018,9.62,0,84,95,76
6/23/2018,13.42,0,84,95,76
6/24/2018,14.99,0,85,95,78
6/25/2018,12.53,0,84,94,77
6/26/2018,10.51,0,84,95,76
6/27/2018,8.95,0,84,95,74
6/28/2018,10.29,0,85,96,75
6/29/2018,12.08,0,85,96,76
6/30/2018,12.75,0,86,97,77
7/1/2018,10.51,0,85,97,77
7/2/2018,6.71,0,85,96,75
7/3/2018,7.38,0,86,98,74
7/4/2018,5.82,0.11,80,85,73
7/5/2018,4.03,0.04,81,96,71
7/6/2018,8.5,0.1,84,97,75
7/7/2018,3.8,0.57,79,90,74
7/8/2018,4.7,0,78,89,74
7/9/2018,3.13,0.58,77,86,73
7/10/2018,5.14,0,80,92,72
7/11/2018,4.7,0,83,93,74
7/12/2018,7.16,0,84,94,75
7/13/2018,7.16,0,84,94,75
7/14/2018,8.95,0,85,94,76
7/15/2018,9.4,0,85,96,76
7/16/2018,8.72,0,85,97,74
7/17/2018,8.72,0,85,97,75
7/18/2018,9.4,0,86,98,76
7/19/2018,9.17,0,87,100,76
7/20/2018,9.62,0,87,100,76
7/21/2018,8.28,0,87,99,75
7/22/2018,9.17,0,88,102,76
7/23/2018,7.16,0,89,106,76
7/24/2018,8.05,0,90,100,83
7/25/2018,3.36,0,88,99,76
7/26/2018,5.82,0,87,101,74
7/27/2018,5.37,0,87,101,75
7/28/2018,6.04,0,87,100,75
7/29/2018,7.83,0,88,100,75
7/30/2018,6.49,0.07,88,101,75
7/31/2018,5.37,0.13,84,92,76
8/1/2018,7.61,0,84,97,70
8/2/2018,5.14,0,84,97,70
8/3/2018,5.37,0,85,97,71
8/4/2018,10.51,0,84,96,73
8/5/2018,9.4,0,83,96,74
8/6/2018,9.17,0,85,96,75
8/7/2018,8.5,0,84,98,74
8/8/2018,9.17,0,85,97,75
8/9/2018,7.38,0,84,97,75
8/10/2018,6.93,0,85,95,75
8/11/2018,6.26,0,81,91,75
8/12/2018,6.71,0.21,79,89,72
8/13/2018,11.18,0,83,98,74
8/14/2018,10.29,0,84,97,74
8/15/2018,10.51,0,86,99,76
8/16/2018,10.29,0,87,101,76
8/17/2018,8.95,0,87,100,76
8/18/2018,8.28,0,88,100,77
8/19/2018,10.96,0,88,100,78
8/20/2018,8.28,0,88,101,79
8/21/2018,6.71,0,88,102,78
8/22/2018,5.59,0,88,102,75
8/23/2018,6.26,0,88,100,76
8/24/2018,9.17,0,87,99,75
8/25/2018,7.83,0,86,98,75
8/26/2018,8.28,0,87,99,76
8/27/2018,10.51,0,86,100,76
8/28/2018,10.51,0,86,100,77
8/29/2018,6.49,0,83,94,74
8/30/2018,4.47,0,82,98,72
8/31/2018,4.92,0,85,99,74
9/1/2018,7.16,0,86,98,76
9/2/2018,5.59,0.06,83,95,76
9/3/2018,7.83,0,90,94,74
9/4/2018,8.05,0,86,90,73
9/5/2018,6.49,0,83,96,75
9/6/2018,4.47,0,83,96,75
9/7/2018,4.25,0.23,81,93,73
9/8/2018,4.7,0.68,80,93,74
9/9/2018,5.14,1.56,76,79,73
9/10/2018,7.61,0.06,74,78,72
9/11/2018,7.16,0.77,74,79,73
9/12/2018,6.26,0.14,76,85,73
9/13/2018,9.84,0.18,78,91,72
9/14/2018,8.72,0.05,76,85,73
9/15/2018,7.83,0,80,93,72
9/16/2018,2.91,0,82,93,73
9/17/2018,2.46,0,81,93,73
9/18/2018,3.13,0,84,94,74
9/19/2018,4.92,0,83,94,74
9/20/2018,6.93,0.31,81,90,73
9/21/2018,8.05,0.41,80,92,76
9/22/2018,7.61,0.04,78,79,71
9/23/2018,3.58,0.01,72,75,69
9/24/2018,3.8,0,75,85,71
9/25/2018,6.93,0.01,80,89,72
9/26/2018,6.49,0.68,78,87,68
9/27/2018,8.05,0,70,78,65
9/28/2018,5.37,0,72,83,66
9/29/2018,5.82,1.72,74,75,71
9/30/2018,4.47,1.33,75,86,70
10/1/2018,4.92,0.1,74,82,70
10/2/2018,4.47,0,77,89,71
10/3/2018,6.71,0,80,90,73
10/4/2018,4.47,0,80,90,72
10/5/2018,6.71,0.1,81,91,73
10/6/2018,6.93,0,80,90,74
10/7/2018,7.16,0.07,79,90,74
10/8/2018,8.5,0.48,78,89,73
10/9/2018,7.83,0.65,76,86,68
10/10/2018,6.49,0.12,71,79,65
10/11/2018,7.83,0,68,78,60
10/12/2018,5.82,0,71,85,60
10/13/2018,12.3,0.77,78,86,72
10/14/2018,7.61,1.43,79,89,72
10/15/2018,14.99,2.72,60,74,47
10/16/2018,10.74,2.01,51,56,48
10/17/2018,10.74,0.09,55,60,52
10/18/2018,8.95,0.01,58,67,54
10/19/2018,5.82,0.41,65,75,61
10/20/2018,9.62,0.01,64,69,60
10/21/2018,9.17,0,63,72,55
10/22/2018,5.82,0.01,58,64,53
10/23/2018,7.61,0.48,58,64,52
10/24/2018,7.38,0.58,61,64,57
10/25/2018,6.26,0.08,61,66,52
10/26/2018,2.68,0,60,74,50
10/27/2018,4.92,0,65,83,53
10/28/2018,6.04,0,69,83,57
10/29/2018,7.61,0,70,83,62
10/30/2018,10.29,0,73,83,65
10/31/2018,10.51,1.61,71,75,58
11/1/2018,11.41,0,59,66,51
11/2/2018,5.14,0,58,73,45
11/3/2018,10.74,0,62,77,50
11/4/2018,7.38,2.47,65,71,58
11/5/2018,7.61,0,67,80,57
11/6/2018,4.7,0,73,84,64
11/7/2018,6.04,0,76,87,63
11/8/2018,8.5,0.03,62,63,57
11/9/2018,14.99,0.52,55,58,48
11/10/2018,8.05,0,48,50,45
11/11/2018,7.83,0.26,49,53,47
11/12/2018,15.66,0.13,47,50,39
11/13/2018,13.65,0,38,39,31
11/14/2018,6.49,0,36,50,28
11/15/2018,3.8,0,41,60,29
11/16/2018,5.14,0,52,69,40
11/17/2018,7.38,0,58,73,48
11/18/2018,8.05,0.19,55,59,46
11/19/2018,8.28,0.27,46,50,42
11/20/2018,8.05,0,50,62,39
11/21/2018,4.7,0.1,50,61,41
11/22/2018,4.03,0,54,64,45
11/23/2018,5.37,0,60,74,50
11/24/2018,4.7,0,59,77,45
11/25/2018,13.42,0,63,69,45
11/26/2018,9.62,0,47,54,37
11/27/2018,5.59,0,45,62,32
11/28/2018,9.62,0,54,70,44
11/29/2018,10.29,0,65,75,59
11/30/2018,10.96,0,71,78,67
12/1/2018,8.28,0.43,69,75,52
12/2/2018,7.16,0,58,69,46
12/3/2018,11.86,0,55,64,46
12/4/2018,10.29,0,47,57,38
12/5/2018,6.04,0,47,59,37
12/6/2018,7.83,0.04,53,60,46
12/7/2018,11.41,4.01,56,60,47
12/8/2018,13.87,0.23,46,47,41
12/9/2018,9.62,0,43,47,40
12/10/2018,3.58,0,44,57,34
12/11/2018,6.04,0,46,62,34
12/12/2018,11.41,0,57,66,50
12/13/2018,11.63,0.05,65,73,44
12/14/2018,16.55,0.01,46,51,44
12/15/2018,8.72,0,51,61,40
12/16/2018,1.79,0,47,61,37
12/17/2018,3.13,0,54,68,43
12/18/2018,3.36,0.07,49,61,39
12/19/2018,5.37,1.01,56,64,52
12/20/2018,14.99,0.02,56,61,50
12/21/2018,7.61,0,51,63,40
12/22/2018,10.07,0,56,75,46
12/23/2018,10.07,0,56,63,46
12/24/2018,8.5,0,52,66,43
12/25/2018,9.4,0,63,73,58
12/26/2018,16.11,0.54,65,71,62
12/27/2018,7.83,3.04,62,71,50
12/28/2018,11.86,0,49,56,41
12/29/2018,12.53,0,46,46,43
12/30/2018,6.93,0.01,44,45,42
12/31/2018,6.26,0.14,48,62,43
1/1/2019,9.4,0,48,55,42
1/2/2019,11.86,2.22,43,46,39
1/3/2019,9.4,0.25,41,45,34
1/4/2019,5.14,0,43,60,33
1/5/2019,3.8,0,51,71,38
1/6/2019,10.51,0,56,72,44
1/7/2019,8.95,0,64,73,61
1/8/2019,5.82,0,63,75,56
1/9/2019,8.95,0,56,61,44
1/10/2019,4.25,0,50,59,40
1/11/2019,9.62,0.5,55,65,45
1/12/2019,10.51,0,57,59,43
1/13/2019,9.17,0,46,53,39
1/14/2019,6.04,0,42,52,36
1/15/2019,3.13,0,46,52,44
1/16/2019,6.04,0.08,51,58,47
1/17/2019,8.05,0.01,61,72,50
1/18/2019,7.16,0.09,56,67,49
1/19/2019,19.69,0.14,55,67,36
1/20/2019,6.04,0,39,51,29
1/21/2019,13.42,0,47,64,36
1/22/2019,15.43,0.84,62,70,42
1/23/2019,12.08,0.38,44,48,34
1/24/2019,4.25,0,42,59,29
1/25/2019,5.59,0,47,60,36
1/26/2019,5.14,0.17,51,59,43
1/27/2019,3.36,0,49,60,41
1/28/2019,10.96,0.13,54,69,43
1/29/2019,10.51,0,45,50,34
1/30/2019,7.16,0,44,51,39
1/31/2019,7.16,0.02,51,63,46
2/1/2019,5.37,0,58,70,54
2/2/2019,7.16,0.08,62,67,58
2/3/2019,8.72,0,63,70,60
2/4/2019,7.61,0,68,75,66
2/5/2019,11.18,0,70,78,67
2/6/2019,14.32,0,72,77,69
2/7/2019,16.33,0.76,65,73,39
2/8/2019,14.32,0.01,37,39,33
2/9/2019,9.17,0.03,36,40,35
2/10/2019,5.37,0.08,42,49,39
2/11/2019,5.14,0.06,53,66,48
2/12/2019,12.3,0,58,62,42
2/13/2019,8.5,0,49,64,32
2/14/2019,12.53,0,60,75,51
2/15/2019,8.5,0,65,82,56
2/16/2019,8.05,0,54,65,44
2/17/2019,13.65,0,53,59,47
2/18/2019,12.53,0,52,63,45
2/19/2019,10.51,0.19,46,48,42
2/20/2019,6.93,0.03,47,62,40
2/21/2019,10.29,0.01,51,55,48
2/22/2019,6.26,0.45,50,54,48
2/23/2019,10.07,0.04,61,74,54
2/24/2019,9.17,0,55,64,43
2/25/2019,9.62,0,53,64,44
2/26/2019,6.26,0.36,55,59,53
2/27/2019,3.8,0,61,70,51
2/28/2019,10.51,0,46,51,37
3/1/2019,5.14,0,45,53,42
3/2/2019,7.38,0,51,56,48
3/3/2019,15.66,0.01,48,49,34
3/4/2019,15.21,0,33,35,29
3/5/2019,10.74,0,34,47,26
3/6/2019,10.29,0,42,58,32
3/7/2019,9.62,0,57,72,51
3/8/2019,13.87,0,71,79,67
3/9/2019,10.29,0.11,74,84,62
3/10/2019,4.92,0,71,82,65
3/11/2019,8.05,0,67,72,61
3/12/2019,13.42,0,65,78,61
3/13/2019,13.2,0.54,65,73,54
3/14/2019,11.63,0.56,67,73,55
3/15/2019,13.42,0,55,62,47
3/16/2019,7.16,0,53,63,45
3/17/2019,5.37,0,57,67,47
3/18/2019,4.25,0,57,70,46
3/19/2019,6.71,0,59,72,48
3/20/2019,5.59,0,62,76,51
3/21/2019,2.91,0,62,76,46
3/22/2019,5.82,0,63,79,50
3/23/2019,11.41,0,65,76,58
3/24/2019,8.72,0,69,82,62
3/25/2019,9.84,0.03,72,81,62
3/26/2019,7.61,0,65,76,54
3/27/2019,8.05,0,63,75,52
3/28/2019,11.41,0,64,78,52
3/29/2019,13.2,0,69,80,61
3/30/2019,14.76,0,65,72,50
3/31/2019,11.41,0,50,57,42
4/1/2019,4.47,0,49,59,39
4/2/2019,5.14,0,53,70,37
4/3/2019,10.74,0.01,60,72,50
4/4/2019,6.93,0.04,71,86,62
4/5/2019,7.16,0,72,82,67
4/6/2019,8.95,0.37,71,74,65
4/7/2019,9.17,1.16,69,72,61
4/8/2019,9.17,0.02,68,83,61
4/9/2019,2.46,0,72,87,55
4/10/2019,14.76,0,75,89,61
4/11/2019,9.17,0,73,82,58
4/12/2019,9.17,0.01,65,79,55
4/13/2019,14.32,0.2,67,76,47
4/14/2019,9.4,0,56,70,46
4/15/2019,11.18,0,64,81,50
4/16/2019,14.09,0,70,82,60
4/17/2019,14.09,0.01,72,77,68
4/18/2019,11.63,1.66,68,74,56
4/19/2019,12.3,0,63,72,50
4/20/2019,4.7,0,61,77,46
4/21/2019,12.97,0,69,83,56
4/22/2019,10.07,0,71,81,63
4/23/2019,9.84,0,71,78,66
4/24/2019,7.83,2.07,69,73,63
4/25/2019,7.16,0,67,82,58
4/26/2019,5.37,0,71,81,61
4/27/2019,10.51,0,72,84,62
4/28/2019,10.07,0,72,84,63
4/29/2019,13.42,0,75,87,67
4/30/2019,17.9,0,79,87,75
5/1/2019,13.65,0,78,84,74
5/2/2019,9.84,2.09,74,83,63
5/3/2019,7.83,2.81,69,79,65
5/4/2019,8.5,0.09,71,82,61
5/5/2019,6.26,0,73,84,64
5/6/2019,6.71,0,74,83,65
5/7/2019,9.17,0.6,75,84,69
5/8/2019,5.82,0.88,71,76,66
5/9/2019,8.95,0,78,88,66
5/10/2019,10.96,0,65,72,57
5/11/2019,8.28,0.06,64,68,60
5/12/2019,7.61,0,67,76,62
5/13/2019,3.58,0,71,84,57
5/14/2019,4.25,0,74,85,63
5/15/2019,5.14,0,76,86,66
5/16/2019,6.04,0,76,87,64
5/17/2019,12.08,0,77,89,68
5/18/2019,13.42,0.08,80,86,76
5/19/2019,7.16,0,82,93,77
5/20/2019,18.12,0,83,92,76
5/21/2019,10.51,0.03,78,84,65
5/22/2019,16.11,0,82,93,76
5/23/2019,15.21,0,83,92,77
5/24/2019,13.42,0,83,92,76
5/25/2019,11.41,0,81,92,73
5/26/2019,11.41,0,82,92,74
5/27/2019,11.86,0,80,90,72
5/28/2019,16.11,0,82,93,74
5/29/2019,15.21,0,83,91,77
5/30/2019,5.82,0,79,87,70
5/31/2019,6.49,1.26,80,88,72
6/1/2019,4.25,0,80,91,72
6/2/2019,4.7,0,84,93,76
6/3/2019,6.04,0,84,93,75
6/4/2019,6.04,0.19,83,90,74
6/5/2019,8.28,1.85,77,82,74
6/6/2019,5.37,0.11,78,88,70
6/7/2019,7.16,0,80,90,71
6/8/2019,6.26,0,82,94,72
6/9/2019,7.83,0,85,95,76
6/10/2019,11.63,0,81,87,74
6/11/2019,6.93,0,78,86,72
6/12/2019,2.68,0,78,89,68
6/13/2019,7.61,0,81,89,72
6/14/2019,10.96,0,81,91,71
6/15/2019,13.2,0,83,95,74
6/16/2019,11.63,1.63,81,88,63
6/17/2019,5.37,0.17,74,87,67
6/18/2019,4.92,0,83,92,74
6/19/2019,11.41,0.05,85,95,71
6/20/2019,12.97,0,83,94,71
6/21/2019,14.32,0,86,94,81
6/22/2019,15.88,0,86,93,82
6/23/2019,16.11,0.01,86,94,81
6/24/2019,9.4,0.52,78,84,69
6/25/2019,10.51,0,79,91,71
6/26/2019,6.93,0.23,78,91,71
6/27/2019,4.03,0.07,79,92,73
6/28/2019,3.36,0,80,92,73
6/29/2019,6.71,0.08,82,92,70
